YEAR,REP,FORAGE,GRZTRT,ZONE,MEAS,DEPTH,SBDSC,ECSC,PHSC,PSC,PMNSC,SOCSC,SQI
2002,1,ANNUAL,GRAZE,HT,1,7.5,0.994,1.000,0.997,0.981,1.000,0.578,0.925
2002,1,ANNUAL,GRAZE,HT,2,7.5,0.994,1.000,0.992,0.985,1.000,0.733,0.951
2002,1,ANNUAL,GRAZE,HT,3,7.5,0.994,1.000,0.989,0.973,1.000,0.757,0.952
2002,1,ANNUAL,GRAZE,LT,1,7.5,0.994,1.000,0.976,0.973,1.000,0.791,0.956
2002,1,ANNUAL,GRAZE,LT,2,7.5,0.994,1.000,0.937,0.973,1.000,0.847,0.959
2002,1,ANNUAL,GRAZE,LT,3,7.5,0.994,1.000,0.964,0.962,1.000,0.671,0.932
2002,1,ANNUAL,HAY,NT,1,7.5,0.994,1.000,0.936,0.944,1.000,0.629,0.917
2002,1,ANNUAL,HAY,NT,2,7.5,0.994,1.000,0.953,0.944,1.000,0.756,0.941
2002,1,ANNUAL,HAY,NT,3,7.5,0.994,1.000,0.967,0.962,1.000,0.745,0.945
2002,1,ANNUAL,CONTROL,NT,1,7.5,0.994,1.000,0.967,0.962,1.000,0.823,0.958
2002,1,ANNUAL,CONTROL,NT,2,7.5,0.994,1.000,0.976,0.962,1.000,0.727,0.943
2002,1,ANNUAL,CONTROL,NT,3,7.5,0.994,1.000,0.937,0.944,1.000,0.719,0.933
2002,2,ANNUAL,GRAZE,HT,1,7.5,0.994,1.000,0.981,1.000,1.000,0.600,0.929
2002,2,ANNUAL,GRAZE,HT,2,7.5,0.988,1.000,0.992,0.945,1.000,0.446,0.895
2002,2,ANNUAL,GRAZE,HT,3,7.5,0.994,1.000,0.978,1.000,1.000,0.516,0.915
2002,2,ANNUAL,GRAZE,LT,1,7.5,0.983,1.000,0.999,0.974,1.000,0.562,0.920
2002,2,ANNUAL,GRAZE,LT,2,7.5,0.994,1.000,0.969,0.973,1.000,0.607,0.924
2002,2,ANNUAL,GRAZE,LT,3,7.5,0.994,1.000,0.991,0.973,1.000,0.580,0.923
2002,2,ANNUAL,HAY,NT,1,7.5,0.993,1.000,0.995,0.981,1.000,0.552,0.920
2002,2,ANNUAL,HAY,NT,2,7.5,0.991,1.000,1.000,0.945,1.000,0.397,0.889
2002,2,ANNUAL,HAY,NT,3,7.5,0.994,1.000,0.973,0.962,1.000,0.754,0.947
2002,2,ANNUAL,CONTROL,NT,1,7.5,0.994,1.000,0.996,0.962,1.000,0.535,0.915
2002,2,ANNUAL,CONTROL,NT,2,7.5,0.991,1.000,0.996,0.974,1.000,0.417,0.896
2002,2,ANNUAL,CONTROL,NT,3,7.5,0.994,1.000,0.995,0.944,1.000,0.617,0.925
2002,1,PERENN,GRAZE,LT,1,7.5,0.994,1.000,0.845,0.944,1.000,0.774,0.926
2002,1,PERENN,GRAZE,LT,2,7.5,0.994,1.000,0.999,0.944,1.000,0.738,0.946
2002,1,PERENN,GRAZE,LT,3,7.5,0.994,1.000,0.981,0.911,1.000,0.756,0.940
2002,1,PERENN,GRAZE,HT,1,7.5,0.994,1.000,0.997,0.914,1.000,0.526,0.905
2002,1,PERENN,GRAZE,HT,2,7.5,0.994,1.000,1.000,0.944,1.000,0.730,0.945
2002,1,PERENN,GRAZE,HT,3,7.5,0.994,1.000,0.998,0.857,1.000,0.859,0.951
2002,1,PERENN,CONTROL,NT,1,7.5,0.994,1.000,0.995,0.944,1.000,0.774,0.951
2002,1,PERENN,HAY,NT,1,7.5,0.994,1.000,0.999,0.859,1.000,0.654,0.918
2002,2,PERENN,GRAZE,LT,1,7.5,0.994,1.000,0.980,0.914,1.000,0.534,0.904
2002,2,PERENN,GRAZE,LT,2,7.5,0.993,1.000,1.000,0.973,1.000,0.898,0.977
2002,2,PERENN,GRAZE,LT,3,7.5,0.994,1.000,0.999,0.944,1.000,0.686,0.937
2002,2,PERENN,GRAZE,HT,1,7.5,0.994,1.000,1.000,0.859,1.000,0.581,0.906
2002,2,PERENN,GRAZE,HT,2,7.5,0.994,1.000,0.988,0.859,1.000,0.416,0.876
2002,2,PERENN,GRAZE,HT,3,7.5,0.994,1.000,1.000,0.859,1.000,0.674,0.921
2002,2,PERENN,HAYED,NT,1,7.5,0.994,1.000,0.988,0.858,1.000,0.659,0.916
2002,2,PERENN,CONTROL,NT,1,7.5,0.994,1.000,0.983,0.945,1.000,0.625,0.924
2005,1,ANNUAL,GRAZE,HT,1,7.5,0.994,1.000,0.983,0.917,1.000,0.671,0.927
2005,1,ANNUAL,GRAZE,HT,2,7.5,0.994,1.000,0.959,0.974,1.000,0.699,0.938
2005,1,ANNUAL,GRAZE,HT,3,7.5,0.994,1.000,0.979,0.917,1.000,0.631,0.920
2005,1,ANNUAL,GRAZE,LT,1,7.5,0.994,1.000,0.982,0.863,1.000,0.620,0.910
2005,1,ANNUAL,GRAZE,LT,2,7.5,0.994,1.000,0.941,0.964,1.000,0.630,0.921
2005,1,ANNUAL,GRAZE,LT,3,7.5,0.994,1.000,0.925,0.974,1.000,0.752,0.941
2005,1,ANNUAL,HAY,NT,1,7.5,0.994,1.000,0.983,0.761,1.000,0.590,0.888
2005,1,ANNUAL,HAY,NT,2,7.5,0.994,1.000,0.970,0.863,1.000,0.674,0.917
2005,1,ANNUAL,HAY,NT,3,7.5,0.994,1.000,0.975,0.916,1.000,0.653,0.923
2005,1,ANNUAL,CONTROL,NT,1,7.5,0.994,1.000,0.992,0.863,1.000,0.688,0.923
2005,1,ANNUAL,CONTROL,NT,2,7.5,0.994,1.000,0.984,0.917,1.000,0.654,0.925
2005,1,ANNUAL,CONTROL,NT,3,7.5,0.994,1.000,0.960,0.974,1.000,0.709,0.940
2005,2,ANNUAL,GRAZE,HT,1,7.5,0.992,1.000,0.992,1.000,1.000,0.329,0.885
2005,2,ANNUAL,GRAZE,HT,2,7.5,0.994,1.000,0.995,1.000,1.000,0.453,0.907
2005,2,ANNUAL,GRAZE,HT,3,7.5,0.994,1.000,1.000,0.986,1.000,0.407,0.898
2005,2,ANNUAL,GRAZE,LT,1,7.5,0.994,1.000,0.986,1.000,1.000,0.560,0.923
2005,2,ANNUAL,GRAZE,LT,2,7.5,0.970,1.000,0.989,1.000,1.000,0.375,0.889
2005,2,ANNUAL,GRAZE,LT,3,7.5,0.991,1.000,0.986,1.000,1.000,0.511,0.915
2005,2,ANNUAL,HAY,NT,1,7.5,0.994,1.000,0.998,0.964,1.000,0.580,0.923
2005,2,ANNUAL,HAY,NT,2,7.5,0.994,1.000,1.000,0.975,1.000,0.409,0.896
2005,2,ANNUAL,HAY,NT,3,7.5,0.989,1.000,0.994,0.964,1.000,0.337,0.881
2005,2,ANNUAL,CONTROL,NT,1,7.5,0.993,1.000,0.996,0.986,1.000,0.517,0.915
2005,2,ANNUAL,CONTROL,NT,2,7.5,0.841,1.000,0.998,1.000,1.000,0.530,0.895
2005,2,ANNUAL,CONTROL,NT,3,7.5,0.989,1.000,0.999,1.000,1.000,0.387,0.896
2005,1,PERENN,GRAZE,LT,1,7.5,0.994,1.000,1.000,0.974,1.000,0.626,0.932
2005,1,PERENN,GRAZE,LT,2,7.5,0.994,1.000,1.000,0.916,1.000,0.704,0.936
2005,1,PERENN,GRAZE,LT,3,7.5,0.989,1.000,0.992,0.863,1.000,0.283,0.854
2005,1,PERENN,GRAZE,HT,1,7.5,0.994,1.000,0.997,0.944,1.000,0.767,0.950
2005,1,PERENN,GRAZE,HT,2,7.5,0.994,1.000,0.995,0.273,1.000,0.533,0.799
2005,1,PERENN,GRAZE,HT,3,7.5,0.992,1.000,0.850,0.044,1.000,0.293,0.696
2005,1,PERENN,CONTROL,NT,1,7.5,0.994,1.000,0.970,0.275,1.000,0.590,0.805
2005,1,PERENN,HAY,NT,1,7.5,0.994,1.000,0.987,0.044,1.000,0.483,0.751
2005,2,PERENN,GRAZE,LT,1,7.5,0.994,1.000,0.995,0.274,1.000,0.654,0.819
