YEAR,TIME,REP,FORAGE,GRZTRT,ZONE,MEAS,DEPTH,SBD,EC,PH,NO3N,NH4N,P,PMN,SOC,TN
2002,SPRING,1,ANNUAL,CONTROL,NT,1,7.5,0.98,0.27,5.78,8.18,2.09,5.71,78.30,26.04,2.26
2002,SPRING,1,ANNUAL,CONTROL,NT,2,7.5,1.01,0.27,5.86,4.62,1.30,5.92,78.30,24.19,2.18
2002,SPRING,1,ANNUAL,CONTROL,NT,3,7.5,0.98,0.25,5.58,11.86,2.36,5.02,52.14,23.30,2.08
2002,SPRING,2,ANNUAL,CONTROL,NT,1,7.5,1.13,0.25,6.13,4.73,2.56,6.60,59.04,22.40,2.02
2002,SPRING,2,ANNUAL,CONTROL,NT,2,7.5,1.17,0.23,6.13,5.81,1.79,7.70,55.85,20.47,1.93
2002,SPRING,2,ANNUAL,CONTROL,NT,3,7.5,1.10,0.21,6.11,5.95,1.17,5.63,69.10,23.61,2.13
2001,FALL,1,ANNUAL,CONTROL,NT,1,7.5,0.99,0.28,5.87,7.73,0.99,5.11,64.88,27.04,2.35
2001,FALL,1,ANNUAL,CONTROL,NT,2,7.5,1.01,0.40,5.76,24.77,1.26,4.49,74.88,25.10,2.23
2001,FALL,1,ANNUAL,CONTROL,NT,3,7.5,0.93,0.34,5.74,14.72,0.96,4.11,67.74,26.88,2.28
2001,FALL,2,ANNUAL,CONTROL,NT,1,7.5,1.23,0.28,6.21,6.69,1.07,5.44,71.79,25.44,2.25
2001,FALL,2,ANNUAL,CONTROL,NT,2,7.5,1.25,0.31,6.32,7.45,0.81,5.53,69.27,21.99,2.02
2001,FALL,2,ANNUAL,CONTROL,NT,3,7.5,1.19,0.32,6.29,15.68,0.90,4.39,71.49,26.20,2.30
2002,SPRING,1,ANNUAL,GRAZE,HT,1,7.5,1.08,0.31,6.00,9.30,5.33,7.88,55.70,22.32,2.06
2002,SPRING,1,ANNUAL,GRAZE,HT,2,7.5,1.03,0.31,5.77,11.03,2.60,8.29,72.50,24.84,2.20
