YEAR,TIME,REP,FORAGE,GRZTRT,ZONE,MEAS,DEPTH,SBD,EC,PH,NO3N,NH4N,P,PMN,SOC,TN
2002,SPRING,1,ANNUAL,GRAZE,HT,1,7.5,1.08,0.31,6.00,9.30,5.33,7.88,55.70,22.32,2.06
2002,SPRING,1,ANNUAL,GRAZE,HT,2,7.5,1.03,0.31,5.77,11.03,2.60,8.29,72.50,24.84,2.20
2002,SPRING,1,ANNUAL,GRAZE,HT,3,7.5,1.02,0.22,5.70,3.15,1.19,6.69,35.24,25.20,2.11
2002,SPRING,1,ANNUAL,GRAZE,LT,1,7.5,1.05,0.28,5.86,7.22,3.60,6.88,82.76,26.91,2.35
2002,SPRING,1,ANNUAL,GRAZE,LT,2,7.5,0.97,0.24,5.58,6.17,1.99,6.41,51.57,26.76,2.27
2002,SPRING,1,ANNUAL,GRAZE,LT,3,7.5,1.08,0.21,5.76,4.14,0.93,6.29,54.98,24.32,2.20
2002,SPRING,1,ANNUAL,HAY,NT,1,7.5,1.07,0.21,5.57,4.70,1.09,5.44,51.74,23.17,2.06
2002,SPRING,1,ANNUAL,HAY,NT,2,7.5,0.95,0.19,5.68,3.14,0.62,4.84,39.17,23.32,2.08
2002,SPRING,1,ANNUAL,HAY,NT,3,7.5,1.02,0.29,5.78,8.03,2.05,6.00,64.87,24.97,2.12
2002,SPRING,1,ANNUAL,CONTROL,NT,1,7.5,0.98,0.27,5.78,8.18,2.09,5.71,78.30,26.04,2.26
2002,SPRING,1,ANNUAL,CONTROL,NT,2,7.5,1.01,0.27,5.86,4.62,1.30,5.92,78.30,24.19,2.18
2002,SPRING,1,ANNUAL,CONTROL,NT,3,7.5,0.98,0.25,5.58,11.86,2.36,5.02,52.14,23.30,2.08
2002,SPRING,2,ANNUAL,GRAZE,HT,1,7.5,1.08,0.26,5.91,4.19,1.05,12.73,72.72,22.91,2.04
2002,SPRING,2,ANNUAL,GRAZE,HT,2,7.5,1.18,0.20,6.05,2.99,1.46,6.06,46.18,21.37,1.95
2002,SPRING,2,ANNUAL,GRAZE,HT,3,7.5,1.12,0.21,5.88,4.73,1.22,9.80,65.15,21.71,2.03
2002,SPRING,2,ANNUAL,GRAZE,LT,1,7.5,1.19,0.26,6.22,5.87,2.27,7.88,96.46,24.32,2.22
2002,SPRING,2,ANNUAL,GRAZE,LT,2,7.5,1.09,0.23,5.80,4.53,0.80,7.18,59.26,23.25,2.12
2002,SPRING,2,ANNUAL,GRAZE,LT,3,7.5,1.09,0.22,6.03,1.94,1.35,7.15,69.56,22.52,2.02
2002,SPRING,2,ANNUAL,HAY,NT,1,7.5,1.14,0.23,6.11,3.76,1.16,8.33,55.10,22.98,2.11
2002,SPRING,2,ANNUAL,HAY,NT,2,7.5,1.17,0.20,6.34,2.84,0.91,5.98,60.93,19.98,1.87
2002,SPRING,2,ANNUAL,HAY,NT,3,7.5,1.00,0.22,5.83,4.95,1.37,5.80,50.62,24.53,2.14
2002,SPRING,2,ANNUAL,CONTROL,NT,1,7.5,1.13,0.25,6.13,4.73,2.56,6.60,59.04,22.40,2.02
2002,SPRING,2,ANNUAL,CONTROL,NT,2,7.5,1.17,0.23,6.13,5.81,1.79,7.70,55.85,20.47,1.93
2002,SPRING,2,ANNUAL,CONTROL,NT,3,7.5,1.10,0.21,6.11,5.95,1.17,5.63,69.10,23.61,2.13
2002,SPRING,1,PERENN,GRAZE,LT,1,7.5,1.13,0.31,7.46,0.00,1.33,5.80,93.96,28.55,2.43
2002,SPRING,1,PERENN,GRAZE,LT,2,7.5,0.94,0.25,6.38,0.00,1.91,14.34,87.60,22.68,1.91
2002,SPRING,1,PERENN,GRAZE,LT,3,7.5,0.94,0.35,6.69,0.00,1.04,4.09,81.02,23.29,1.97
2002,SPRING,1,PERENN,GRAZE,HT,1,7.5,1.05,0.21,6.14,0.66,1.94,13.87,134.31,20.72,1.96
2002,SPRING,1,PERENN,GRAZE,HT,2,7.5,0.97,0.23,6.28,1.82,1.96,4.94,97.27,23.19,2.00
2002,SPRING,1,PERENN,GRAZE,HT,3,7.5,1.05,0.21,6.17,0.93,2.28,11.49,100.47,29.35,2.42
2002,SPRING,1,PERENN,CONTROL,NT,1,7.5,0.92,0.24,6.50,0.00,1.37,4.71,75.11,23.15,1.95
2002,SPRING,1,PERENN,HAYED,NT,1,7.5,1.04,0.21,6.38,0.00,1.10,11.38,81.36,23.07,2.00
2002,SPRING,2,PERENN,GRAZE,LT,1,7.5,1.08,0.26,6.70,0.44,1.88,14.25,93.97,21.45,2.00
2002,SPRING,2,PERENN,GRAZE,LT,2,7.5,1.14,0.20,6.27,0.38,2.28,7.52,128.34,33.93,2.81
2002,SPRING,2,PERENN,GRAZE,LT,3,7.5,1.03,0.30,6.39,1.78,1.74,15.84,91.82,23.69,2.09
2002,SPRING,2,PERENN,GRAZE,HT,1,7.5,1.10,0.22,6.35,0.00,1.49,4.03,67.55,22.84,2.03
2002,SPRING,2,PERENN,GRAZE,HT,2,7.5,0.80,0.23,5.99,0.35,2.26,8.73,55.71,13.91,1.30
2002,SPRING,2,PERENN,GRAZE,HT,3,7.5,1.08,0.25,6.31,1.25,4.78,3.95,100.61,24.52,2.18
2002,SPRING,2,PERENN,HAYED,NT,1,7.5,1.06,0.23,6.61,1.02,1.35,11.55,72.53,23.59,2.11
2002,SPRING,2,PERENN,CONTROL,NT,1,7.5,1.06,0.26,6.67,1.94,1.84,5.42,103.49,22.85,2.07
2005,SPRING,1,ANNUAL,GRAZE,HT,1,7.5,0.84,0.28,5.93,4.14,1.65,3.75,63.20,19.11,1.67
2005,SPRING,1,ANNUAL,GRAZE,HT,2,7.5,0.90,0.30,5.72,5.62,1.19,5.99,36.01,20.96,1.82
2005,SPRING,1,ANNUAL,GRAZE,HT,3,7.5,0.88,0.32,5.89,11.71,2.11,3.92,76.15,19.20,1.69
2005,SPRING,1,ANNUAL,GRAZE,LT,1,7.5,1.10,0.23,5.92,4.47,1.74,4.07,68.71,23.68,1.89
2005,SPRING,1,ANNUAL,GRAZE,LT,2,7.5,0.93,0.25,5.60,5.64,1.94,5.53,32.11,20.30,1.81
2005,SPRING,1,ANNUAL,GRAZE,LT,3,7.5,0.84,0.53,5.51,17.30,2.34,5.58,56.57,20.63,1.80
2005,SPRING,1,ANNUAL,HAY,NT,1,7.5,1.10,0.23,5.93,3.04,2.05,3.26,66.05,23.04,2.00
2005,SPRING,1,ANNUAL,HAY,NT,2,7.5,1.03,0.26,5.81,8.16,2.65,3.80,71.17,23.31,2.10
2005,SPRING,1,ANNUAL,HAY,NT,3,7.5,1.05,0.32,5.85,6.24,2.50,4.66,74.36,23.36,2.09
2005,SPRING,1,ANNUAL,CONTROL,NT,1,7.5,1.07,0.28,6.05,5.10,2.93,3.96,73.70,24.59,2.13
2005,SPRING,1,ANNUAL,CONTROL,NT,2,7.5,1.03,0.26,5.94,8.79,3.39,4.56,56.77,22.81,1.99
2005,SPRING,1,ANNUAL,CONTROL,NT,3,7.5,1.01,0.29,5.73,6.42,1.71,6.70,72.58,23.65,2.02
2005,SPRING,2,ANNUAL,GRAZE,HT,1,7.5,1.16,0.23,6.04,2.88,2.40,10.32,60.28,18.15,1.72
2005,SPRING,2,ANNUAL,GRAZE,HT,2,7.5,1.13,0.42,6.11,13.37,1.82,15.09,85.93,20.63,1.87
2005,SPRING,2,ANNUAL,GRAZE,HT,3,7.5,1.14,0.31,6.25,5.42,1.96,9.25,64.10,19.65,1.80
2005,SPRING,2,ANNUAL,GRAZE,LT,1,7.5,1.10,0.35,5.97,9.08,2.93,11.37,79.91,22.29,2.00
2005,SPRING,2,ANNUAL,GRAZE,LT,2,7.5,1.22,0.36,6.00,9.68,2.63,11.71,79.91,20.23,1.85
2005,SPRING,2,ANNUAL,GRAZE,LT,3,7.5,1.16,0.29,5.96,6.67,2.38,11.20,78.18,22.55,2.01
2005,SPRING,2,ANNUAL,HAY,NT,1,7.5,1.14,0.27,6.42,3.72,1.93,6.73,76.49,23.59,2.03
2005,SPRING,2,ANNUAL,HAY,NT,2,7.5,1.12,0.34,6.26,8.33,2.23,7.49,75.81,19.38,1.76
2005,SPRING,2,ANNUAL,HAY,NT,3,7.5,1.18,0.28,6.08,4.44,2.05,6.98,67.18,18.62,1.71
2005,SPRING,2,ANNUAL,CONTROL,NT,1,7.5,1.15,0.28,6.47,4.93,2.18,9.24,87.78,22.33,1.98
